QueryORF	QueryGene	ExperimentOutcome	PredictionScore	Literature	FinalCategory
YDR478W	SNM1	Indispensable	0,31		Core
YDR489W	SLD5	Indispensable	0,35		Core
YDR498C	SEC20	Indispensable	0,56		Core
YDR527W	RBA50	Indispensable	0,54		Core
YDR531W	CAB1	Indispensable	0,35		Core
YEL002C	WBP1	Indispensable	0,26		Core
YEL020W-A	TIM9		0,42		Core
YEL026W	SNU13	Indispensable	0,22		Core
YEL032W	MCM3	Indispensable	0,28		Core
YEL055C	POL5	Indispensable	0,34		Core
YEL058W	PCM1	Indispensable	0,37		Core
YER003C	PMI40		0,29		Core
YER006W	NUG1	Indispensable	0,33		Core
YER012W	PRE1	Indispensable	0,33		Core
YER013W	PRP22	Indispensable	0,26		Core
YER018C	SPC25	Indispensable	0,43		Core
YER021W	RPN3	Indispensable	0,26		Core
YER022W	SRB4		0,37		Core
YER023W	PRO3		0,43		Core
YER025W	GCD11	Indispensable	0,38		Core
YER038C	KRE29		0,50		Core
YER048W-A	ISD11	Indispensable	0,63		Core
YER082C	UTP7	Indispensable	0,17		Core
YER094C	PUP3	Indispensable	0,22		Core
YER125W	RSP5	Indispensable	0,33		Core
YER126C	NSA2	Indispensable	0,22		Core
YER127W	LCP5	Indispensable	0,24		Core
YER133W	GLC7		0,42		Core
YER136W	GDI1	Indispensable	0,44		Core
YER148W	SPT15	Indispensable	0,23		Core
YER168C	CCA1		0,29		Core
YER171W	RAD3		0,20		Core
YER172C	BRR2	Indispensable	0,24		Core
YFL002C	SPB4	Indispensable	0,38		Core
YFL005W	SEC4	Indispensable	0,49		Core
YFL008W	SMC1		0,31		Core
YFL009W	CDC4	Indispensable	0,43		Core
YFL017C	GNA1		0,39		Core
YFL017W-A	SMX2		0,38		Core
YFL022C	FRS2	Indispensable	0,30		Core
YFL037W	TUB2		0,25		Core
YFL039C	ACT1		0,29		Core
YFL045C	SEC53	Indispensable	0,51		Core
YFR002W	NIC96	Indispensable	0,54		Core
YFR003C	YPI1	Indispensable	0,55		Core
YFR004W	RPN11	Indispensable	0,17		Core
YFR005C	SAD1		0,37		Core
YFR031C	SMC2	Indispensable	0,44		Core
YFR037C	RSC8	Indispensable	0,28		Core
YFR042W	KEG1	Indispensable	0,60		Core
YFR050C	PRE4	Indispensable	0,34		Core
YFR051C	RET2	Indispensable	0,39		Core
YFR052W	RPN12	Indispensable	0,26		Core
YGL001C	ERG26		0,31		Core
YGL008C	PMA1		0,40		Core
YGL011C	SCL1		0,21		Core
YGL022W	STT3	Indispensable	0,32		Core
YGL030W	RPL30	Indispensable	0,31		Core
YGL040C	HEM2	Indispensable	0,50		Core
YGL044C	RNA15		0,30		Core
YGL047W	ALG13	Indispensable	0,52		Core
YGL048C	RPT6	Indispensable	0,33		Core
YGL055W	OLE1	Indispensable	0,35		Core
YGL061C	DUO1	Indispensable	0,39		Core
YGL065C	ALG2	Indispensable	0,43		Core
YGL068W	MNP1		0,45		Core
YGL073W	HSF1	Indispensable	0,62		Core
YGL091C	NBP35		0,27		Core
YGL097W	SRM1	Indispensable	0,52		Core
YGL099W	LSG1	Indispensable	0,22		Core
YGL103W	RPL28	Indispensable	0,31		Core
YGL106W	MLC1		0,36		Core
YGL112C	TAF6	Indispensable	0,35		Core
YGL113W	SLD3	Indispensable	0,60		Core
YGL116W	CDC20	Indispensable	0,29		Core
YGL120C	PRP43	Indispensable	0,17		Core
YGL122C	NAB2	Indispensable	0,49		Core
YGL123W	RPS2	Indispensable	0,19		Core
YGL130W	CEG1		0,22		Core
YGL137W	SEC27		0,31		Core
YGL142C	GPI10	Indispensable	0,48		Core
YGL145W	TIP20		0,44		Core
YGL155W	CDC43	Indispensable	0,45		Core
YGL171W	ROK1	Indispensable	0,15		Core
YGL201C	MCM6	Indispensable	0,23		Core
YGL207W	SPT16	Indispensable	0,30		Core
YGL233W	SEC15		0,37		Core
YGL238W	CSE1	Indispensable	0,52		Core
YGL245W	GUS1		0,32		Core
YGL247W	BRR6	Indispensable	0,60		Core
YGR002C	SWC4		0,32		Core
YGR005C	TFG2	Indispensable	0,39		Core
YGR009C	SEC9		0,49		Core
YGR013W	SNU71	Indispensable	0,24		Core
YGR024C	THG1	Indispensable	0,31		Core
YGR029W	ERV1	Indispensable	0,53		Core
YGR030C	POP6	Indispensable	0,29		Core
YGR047C	TFC4		0,49		Core
YGR048W	UFD1	Indispensable	0,42		Core
YGR060W	ERG25	Indispensable	0,41		Core
YGR074W	SMD1		0,30		Core
YGR075C	PRP38	Indispensable	0,31		Core
YGR082W	TOM20		0,39		Core
YGR083C	GCD2	Indispensable	0,36		Core
YGR090W	UTP22	Indispensable	0,36		Core
YGR091W	PRP31		0,25		Core
YGR094W	VAS1	Indispensable	0,30		Core
YGR095C	RRP46	Indispensable	0,23		Core
YGR099W	TEL2	Indispensable	0,49		Core
YGR103W	NOP7	Indispensable	0,09		Core
YGR113W	DAM1	Indispensable	0,45		Core
YGR116W	SPT6	Indispensable	0,53		Core
YGR128C	UTP8	Indispensable	0,20		Core
YGR140W	CBF2	Indispensable	0,45		Core
YGR145W	ENP2	Indispensable	0,16		Core
YGR156W	PTI1	Indispensable	0,38		Core
YGR158C	MTR3	Indispensable	0,26		Core
